job_id	path	bc_1	bc_2	sample
17131	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	D_3119_2_50134
17132	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	A_3062_1_50271
17132	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	J_3095_1_50268
17132	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	H_3095_1_50266
17132	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	J_3117_1_50257
17138	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	A_3124_1_51063
17138	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	B_3124_1_51064
17138	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	C_3124_1_51065
17138	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	D_3124_1_51066
17139	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	E_3124_1_51067
17139	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	F_3124_1_51068
17139	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	G_3124_1_51069
17139	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	H_3124_1_51070
17140	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	G_3123_1_51057
17140	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	I_3124_1_51071
17140	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	K_3124_1_51073
17141	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	A_3121_1_51041
17141	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	B_3121_1_51042
17141	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	C_3121_1_51043
17141	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	E_3123_1_51055
17142	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	G_3121_1_51045
17142	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	H_3121_1_51046
17142	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	I_3121_1_51047
17142	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	J_3121_1_51048
17143	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	K_3121_1_51049
17143	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	D_3121_1_51044
17143	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	K_3123_1_51061
17143	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	D_3123_1_51054
17144	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	B_3123_1_51052
17144	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	A_3123_1_51051
17144	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	J_3124_1_51072
17145	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	J_3123_1_51060
17145	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	C_3123_1_51053
17145	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	H_3123_1_51058
17145	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	I_3123_1_51059
